object_A,object_B,direction,layer,status,mechanism,source
tau_i,A_ij,induced,pair,confirmed,"(tau_i, tau_j, gamma_i, gamma_j, W_ij) -> F_ij ; A_ij treated here as effective pair-connection kernel",Sigma.pdf; Metatime_with_Euler_extension; user rule
epsilon,D,symmetric,phase,confirmed,Euler-Berry micro-macro topological coupling,Metatime_with_Euler_extension; Lambda_meta
gamma_i,A,induced,phase,confirmed,gamma[C] = ∮ A along cycle,Metatime corpus
W_ij,A,induced,holonomy,confirmed,W_ij generated by connection along path between cycles,Sigma.pdf
F_ij,W_ij,induced,pair,confirmed,pair correction built from holonomy and phase data,Sigma.pdf
Delta_H,gamma_k,aggregate,phase,confirmed,closure defect built from family of phases,Contract
R_H,Delta_H,induced,phase,confirmed,R_H = |Delta_H|^2,Contract
V_rel,R_H,induced,contract,confirmed,V_rel = kappa_H R_H + V_I + V_D,Contract
reduction,memory,directed,memory,confirmed,memory updates after reduction,System OrchORbital
T_4,sphere_base,induced,toy_geometry,toy,tetrahedral embedding as minimal nontrivial spatial scaffold,toy model
Sigma_local,tau_i/gamma_i/F_i,aggregate,pair,confirmed,local fingerprint state,Sigma.pdf
Sigma_global,leak/J,directed,toy_geometry,unresolved,global energetic loop not frozen in current PDFs,conversation hypothesis
J(epsilon),epsilon,induced,toy_geometry,unresolved,binding/leak operator not yet frozen,conversation hypothesis
Kepler_layer,orbit_shells,induced,toy_geometry,candidate,effective outer orbital law only after mechanism map,conversation hypothesis
